Date,VMName,UsedDiskSpaceGB,HardDiskCount,HardDiskData,TotalDiskSpaceGB
Tuesday-August-3,md-masterbatch-website,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,joy&roy,N/A,1,HD#1: 220 GB,220
Tuesday-August-3,elbassiony-Copy,N/A,2,"HD#1: 200 GB, HD#2: 200 GB",400
Tuesday-August-3,Ceramica-Cleoptra,N/A,1,HD#1: 180 GB,180
Tuesday-August-3,2B-01,N/A,1,HD#1: 230 GB,230
Tuesday-August-3,Frank-IMSVA-Child-01,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,WorldPosta Website 02,N/A,1,HD#1: 300 GB,300
Tuesday-August-3,MyCloud-AppLaunchPad,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,Router-01,N/A,1,HD#1: 150 GB,150
Tuesday-August-3,Frank-IMSVA-Child-03,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,ubuntu-dev,N/A,1,HD#1: 200 GB,200
Tuesday-August-3,WorldPosta WebSite,N/A,1,HD#1: 300 GB,300
Tuesday-August-3,Router-02,N/A,1,HD#1: 150 GB,150
Tuesday-August-3,Frank-NSX-Controller-01-NSX-controller-1,N/A,1,HD#1: 28 GB,28
Tuesday-August-3,Frank-IMSVA-Child-04,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,MinIO,N/A,1,HD#1: 1024 GB,1024
Tuesday-August-3,Frank-PA-02,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,NextCloud 31-1-2021,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,dev-ubuntu-21,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,Gabr-Kali-Server,N/A,1,HD#1: 200 GB,200
Tuesday-August-3,Frank-IMSVA-Child-02,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,centos-Backup-vcenter,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,DSITV-06.00.00.165,N/A,1,HD#1: 10 GB,10
Tuesday-August-3,WP-Coturn-Videostreaming,N/A,1,HD#1: 160 GB,160
Tuesday-August-3,MyCloud-AMQP,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,Frank-NSX-Controller-03-NSX-controller-3,N/A,1,HD#1: 28 GB,28
Tuesday-August-3,Frank-NSX-Controller-02-NSX-controller-2,N/A,1,HD#1: 28 GB,28
Tuesday-August-3,Frank-PA-01,N/A,1,HD#1: 150 GB,150
Tuesday-August-3,DSMBuildVM-20,N/A,3,"HD#1: 15 GB, HD#2: 15 GB, HD#3: 20 GB",50
Tuesday-August-3,MyCloud-NFS,N/A,2,"HD#1: 100 GB, HD#2: 500 GB",600
Tuesday-August-3,Frank-IMSVA-Parent 1022021,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,Roaya WebSite,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,Dell-EMC-01,N/A,1,HD#1: 10 GB,10
Tuesday-August-3,Frank-Tools,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,nextcloud-dev-new-production,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,frank-Migr.Roaya.loc,N/A,1,HD#1: 127.00 GB,127
Tuesday-August-3,Frank-MBX02 - Clone 12-6-2020,N/A,1,HD#1: 570 GB,570
Tuesday-August-3,Developers-VM8-jTLN,N/A,1,HD#1: 300 GB,300
Tuesday-August-3,Solid-CP-DB-copy-13,N/A,1,HD#1: 600 GB,600
Tuesday-August-3,Nextcloud-Ubuntu-Prodaction-FromSnap,N/A,3,"HD#1: 100 GB, HD#2: 500 GB, HD#3: 20000 GB",20600
Tuesday-August-3,WP-Syslog,N/A,1,HD#1: 1024 GB,1024
Tuesday-August-3,Developers-VM9-g6uv,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,Developers-VM6-Q6b7,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,Frank-tools01.Roaya.loc,N/A,1,HD#1: 500.00 GB,500
Tuesday-August-3,vse-el bassiony (27dff168-a339-48b9-90af-c7f34c7d2f47)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-LeadersCO (e518df4f-a749-4c07-8e0b-5abac75e25c3)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-Delta-Pharma-ESG (0ed9c57a-8bba-4476-b544-4d48226b0897)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-Hefny-Pharma-Edge (cdaefd93-2720-437f-bdd0-a6487e5160a2)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-Family-Corp (fa2e6e64-c575-468a-bf34-a8c1415d3ea5)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-Edge-AlfaMarket-Lan (718d9b5e-62e1-4cd1-9a90-693eae41b6bb)-0,N/A,3,"HD#1: 0.57 GB, HD#2: 2 GB, HD#3: 0.5 GB",3.07
Tuesday-August-3,vse-the-concrete (95a00dfd-3eb6-476f-b8a5-6d3f4b35650f)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-Demo (2a1cd3aa-1b88-4de4-a85d-7c05601d750f)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-El Doha-Edge (c36206fb-388c-4207-94a8-81ada6f158fd)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-Liptis (cc0de151-6dcf-4413-8151-a1b32925ab90)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-Edge-Future-ERP (2171c296-7643-4d4c-90ee-e7c56e7eb668)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-peter-new-tenant (38d400ef-1ca3-438f-b131-738fb4017ff2)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-Family-Edge-PA (4fcca189-f7a0-444f-bade-2471f5bb51ba)-0,N/A,3,"HD#1: 0.57 GB, HD#2: 2 GB, HD#3: 0.5 GB",3.07
Tuesday-August-3,vse-Edge-ABDO (e673e19e-1c38-4c3d-8d92-1954a4a7fbe7)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-venus-group (f62ce961-18dc-4a4f-91c1-8f9d8ac19131)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-elbatal-test (8f5c9001-85bc-40a7-a286-d1e537a89b2e)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-new-eslam (899bd341-ce21-4c6a-953a-1fbefdb22d22)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-solex-edge (fab0b166-093a-431b-bdb0-08bc63a71b24)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-Ahessien-Edge (85eabc8d-9111-4a6c-a374-3ea1f068c3be)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-Egypt-Cables-Edge (fb2efcf5-80ce-4248-bce2-9903891f3a73)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-ioda-edge (1641a623-4b51-46d4-b0c5-643d0d143900)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-ACT-Company (e251c8fb-4dfb-469c-b93f-ef2a8487c5c6)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-RENTEX CARS (4971e2a7-8d66-4cab-8cdd-9d6cefbeaf68)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
Tuesday-August-3,vse-Gabr-edg (fa1964f7-de42-4f8c-8edc-93f2db32cc25)-0,N/A,2,"HD#1: 0.57 GB, HD#2: 0.5 GB",1.07
