"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB"
"Tuesday August 3","vROps-Tenant-App-for-vCD-2.3.0.33067-14826907","20.59","3","HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB","87"
"Tuesday August 3","MISR-CARQASDB","795.25","1","HD#1: 2048 GB","2048"
"Tuesday August 3","Frank-ADC-04","39.28","1","HD#1: 100 GB","100"
"Tuesday August 3","Mis-ERP DEV-PRD DB Server","740.80","3","HD#1: 150 GB, HD#2: 200 GB, HD#3: 2048 GB","2398"
"Tuesday August 3","Misr-ERPQASDB","3629.91","1","HD#1: 3072 GB","3072"
"Tuesday August 3","Misr-PIPRD","2070.11","2","HD#1: 10 GB, HD#2: 1900 GB","1910"
"Tuesday August 3","WP-OdOO","14.77","1","HD#1: 200 GB","200"
"Tuesday August 3","VMware vCenter Server Appliance 6.7-Passive","333.34","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66"
"Tuesday August 3","Frank-OpenManage_Integration","85.98","1","HD#1: 85.98 GB","85.98"
"Tuesday August 3","Frank-SQL-2019","408.09","1","HD#1: 400 GB","400"
"Tuesday August 3","copy-DeepSecurity","150.00","1","HD#1: 150 GB","150"
"Tuesday August 3","Diyaa-LAB","666.09","1","HD#1: 650 GB","650"
"Tuesday August 3","replaymanager","240.10","3","HD#1: 40 GB, HD#2: 200 GB, HD#3: 300 GB","540"
"Tuesday August 3","Jump-Server-Tawfik","77.99","1","HD#1: 100 GB","100"
"Tuesday August 3","Frank-DC01","168.29","1","HD#1: 140 GB","140"
"Tuesday August 3","EX-04","728.10","1","HD#1: 600 GB","600"
"Tuesday August 3","Frank-DC02","172.09","1","HD#1: 140 GB","140"
"Tuesday August 3","Exchange-DEV","520.19","2","HD#1: 500 GB, HD#2: 150 GB","650"
"Tuesday August 3","Misr-Router-02","43.82","1","HD#1: 60 GB","60"
"Tuesday August 3","VMware vCenter Server Appliance 6.7","45.37","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66"
"Tuesday August 3","VMware-NSX-Manager","60.09","1","HD#1: 60 GB","60"
"Tuesday August 3","Mis-CRM QAS & Dev DB Server","594.20","1","HD#1: 2048 GB","2048"
"Tuesday August 3","VMware_vCloud_Director-10.0.0.4649-15450333","210.46","3","HD#1: 30 GB, HD#2: 2 GB, HD#3: 80 GB","112"
"Tuesday August 3","Misr-Router-01","76.09","1","HD#1: 60 GB","60"
"Tuesday August 3","Elbassiouni WebSite Production","122.92","1","HD#1: 100 GB","100"
"Tuesday August 3","md-masterbatch-website","42.55","1","HD#1: 100 GB","100"
"Tuesday August 3","joy&roy","45.83","1","HD#1: 220 GB","220"
"Tuesday August 3","elbassiony-Copy","475.08","2","HD#1: 200 GB, HD#2: 200 GB","400"
"Tuesday August 3","Ceramica-Cleoptra","74.28","1","HD#1: 180 GB","180"
